,city,latitude,temp,humidity,Wind_Speed,Cloudiness,longitude
0,taywarah,33.35,63.93,29,2.95,0,64.42
1,east london,-33.02,57.2,82,5.82,0,27.91
2,anton lizardo,19.05,77.0,88,2.17,40,-95.98
3,barrow,-38.31,45.21,78,9.22,76,-60.23
4,arraial do cabo,-22.97,73.65,87,19.84,0,-42.02
5,saint-philippe,45.36,56.39,82,3.36,90,-73.48
6,atuona,-9.8,78.69,100,11.01,92,-139.03
7,birpur,26.52,87.6,88,4.18,0,87.01
8,xining,36.62,55.47,64,2.62,24,101.77
9,guerrero negro,27.97,65.82,100,7.76,0,-114.04
10,kapaa,22.08,80.08,97,8.05,40,-159.32
11,georgetown,6.8,77.0,100,5.19,0,-58.16
12,carnarvon,-30.97,46.29,46,2.95,0,22.13
13,mataura,-46.19,45.93,97,5.64,92,168.86
14,avarua,-21.21,75.2,88,3.36,75,-159.78
15,port alfred,-33.59,64.29,87,8.77,20,26.89
16,hilo,19.71,71.46,74,10.29,75,-155.08
17,jambi,-1.6,91.29,66,4.74,0,103.62
18,jingdezhen,29.29,78.06,75,5.75,20,117.2
19,kavieng,-2.57,86.25,98,11.45,44,150.8
20,katsuura,33.93,73.4,73,5.82,75,134.5
21,ushuaia,-54.81,37.4,55,10.22,20,-68.31
22,provideniya,64.42,48.2,70,8.95,75,-173.23
23,rikitea,-23.12,71.31,100,18.61,92,-134.97
24,mount gambier,-37.83,60.42,74,7.43,32,140.78
25,nikolskoye,59.7,48.2,66,20.13,20,30.79
26,shanhetun,44.7,65.37,77,4.18,0,127.2
27,punta arenas,-53.16,33.8,86,10.29,0,-70.91
28,alice springs,-23.7,87.8,5,8.05,0,133.88
29,chicama,-7.84,62.6,88,9.17,75,-79.15
30,yellowknife,62.45,28.4,58,13.87,90,-114.38
31,algodones,35.38,55.06,81,5.82,1,-106.48
32,upernavik,72.79,34.05,100,14.7,88,-56.15
33,khatanga,71.98,36.93,74,23.64,36,102.47
34,la paz,24.15,82.4,74,4.07,40,-110.32
35,gra liyia,35.02,68.0,72,18.34,75,25.68
36,ribeira grande,38.52,74.37,97,19.84,88,-28.7
37,puerto ayora,-0.74,69.42,100,10.45,64,-90.35
38,bredasdorp,-34.53,59.0,72,5.82,36,20.04
39,ponta do sol,-20.63,73.83,38,7.65,48,-46.0
40,irricana,51.32,46.4,81,3.36,90,-113.6
41,tynda,55.15,60.06,51,5.08,20,124.74
42,at-bashi,41.17,56.73,33,2.39,0,75.81
43,namibe,-15.19,65.01,100,7.65,24,12.15
44,aleksandrov gay,50.14,49.71,88,8.43,0,48.57
45,progreso,-34.68,59.0,87,9.17,75,-56.22
46,mecca,21.43,90.57,34,4.07,0,39.83
47,monroe,41.91,50.4,96,5.82,1,-83.4
48,manzanillo,20.34,82.47,100,14.92,0,-77.12
49,diffa,13.32,72.57,75,10.33,0,12.61
50,mareeba,-16.99,84.2,30,14.99,20,145.42
51,aitape,-3.15,83.37,89,7.99,0,142.36
52,butaritari,3.07,84.18,100,8.21,20,172.79
53,oudtshoorn,-33.59,53.6,81,4.7,0,22.2
54,zyryanovsk,49.74,57.54,61,1.95,0,84.27
55,pundaguitan,6.37,86.97,89,8.43,76,126.17
56,kichera,55.93,42.69,85,2.95,88,110.1
57,hermanus,-34.42,56.19,80,8.88,24,19.24
58,beberibe,-4.18,78.8,74,16.11,40,-38.13
59,jamestown,-33.21,67.26,29,10.89,0,138.6
60,zhezkazgan,47.8,60.8,44,13.42,0,67.71
61,qaanaaq,77.48,21.9,100,7.65,80,-69.36
62,codrington,-28.95,69.69,66,5.75,32,153.24
63,elk city,35.41,53.35,82,4.97,1,-99.4
64,taikang,46.86,69.33,49,9.44,0,124.44
65,tiksi,71.64,34.23,90,10.22,0,128.87
66,hobart,-42.88,68.0,32,19.46,0,147.33
67,ahipara,-35.17,55.65,83,9.22,56,173.16
68,raja jang,31.22,86.0,66,3.36,8,74.25
69,cockburn town,21.46,82.38,100,17.27,92,-71.14
70,hauterive,46.09,48.92,62,5.82,0,3.45
71,zemio,5.02,77.07,85,3.74,0,25.13
72,souillac,45.6,56.41,76,9.17,0,-0.6
73,leningradskiy,69.38,40.71,95,14.81,48,178.42
74,anshun,26.25,62.04,88,6.64,92,105.93
75,port elizabeth,39.31,71.26,93,8.05,1,-74.98
76,ekhabi,53.51,60.78,59,11.23,0,142.97
77,mikuni,36.22,66.2,77,13.87,75,136.15
78,bluff,-23.58,86.52,27,4.52,36,149.07
79,busselton,-33.64,62.94,98,13.02,32,115.35
80,macas,-2.3,59.97,84,2.73,12,-78.12
81,necochea,-38.55,46.11,84,8.99,80,-58.74
82,longyearbyen,78.22,24.8,68,16.11,40,15.63
83,pyshchug,58.89,38.91,98,14.03,92,45.71
